"100 is the highest priority.","100 is the highest priority."
"301 Moved Permanently","301 Moved Permanently"
"302 Found","302 Found"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Can be set between 30 and 365 days","Can be set between 30 and 365 days"
"Change ""Enabled/Disabled""","Change ""Enabled/Disabled"""
"Change Hits","Change Hits"
"Change Priority Category","Change Priority Category"
"Change Product Category","Change Product Category"
Choose:,Choose:
Count,Count
"Disabled or Deleted Category","Disabled or Deleted Category"
Enable,Enable
"For Deleted Products","For Deleted Products"
Hits,Hits
"Last request category ID %s is invalid","Last request category ID %s is invalid"
"Manage Deleted Product Redirects","Manage Deleted Product Redirects"
"Please select Redirect(s)","Please select Redirect(s)"
"Priority Category","Priority Category"
"Priority Category ID","Priority Category ID"
"Priority Category Name","Priority Category Name"
"Product Category","Product Category"
"Product Category ID","Product Category ID"
"Product Category Name","Product Category Name"
"Product Redirect do not exist","Product Redirect do not exist"
"Product SKU","Product SKU"
"Redirect ID","Redirect ID"
"Redirect Type","Redirect Type"
"SEO Deleted Product Redirect Edit for ""%s"" Store","SEO Deleted Product Redirect Edit for ""%s"" Store"
"SEO Product Redirect Settings","SEO Product Redirect Settings"
"SEO Product Redirects","SEO Product Redirects"
"SEO Redirect has been deleted","SEO Redirect has been deleted"
"SEO Redirects","SEO Redirects"
"SEO Redirects For Deleted Products","SEO Redirects For Deleted Products"
"SEO Suite","SEO Suite"
"Time period (in days) to keep redirects on the website","Time period (in days) to keep redirects on the website"
"Total of %d record(s) were successfully deleted","Total of %d record(s) were successfully deleted"
"Total of %d record(s) were successfully updated","Total of %d record(s) were successfully updated"
"Unable to find SEO Product Redirect by ID","Unable to find SEO Product Redirect by ID"
"New Custom Redirect","New Custom Redirect"
"Redirect From(Type)","Redirect From(Type)"
"Redirect To(Type)","Redirect To(Type)"
"Redirect To","Redirect To"
"Custom Redirect Settings","Custom Redirect Settings"
"Request Type","Request Type"
"Request Entity Type","Request Entity Type"
"Request Custom URL","Request Custom URL"
"Request Product ID","Request Product ID"
"Request Category ID","Request Category ID"
"Request CMS Page ID","Request CMS Page ID"
"Target Entity Type","Target Entity Type"
"Target Custom URL","Target Custom URL"
"Target Product ID","Target Product ID"
"Target Category ID","Target Category ID"
"Target CMS Page ID","Target CMS Page ID"
"Last request category ID %s is invalid","Last request category ID %s is invalid"
"Unable to find Custom Redirect by ID.","Unable to find Custom Redirect by ID."
"Permanent redirect(301)","Permanent redirect(301)"
"Temporary redirect(302)","Temporary redirect(302)"
"Custom URL","Custom URL"
"CMS Page","CMS Page"